FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60824c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 60.00	   0.0	 2.0010	 1090.6000		 1.7764	   1.0	
m60824c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 60.00	   1.0	 0.1420	 1091.3000		 1.4944	   1.0	
m60825c1r2.htb	 180.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   0.0	 0.2790	 1073.9000		 1.6827	   0.0	
m60825c1r2.htb	 180.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   1.0	 0.1230	 1073.9500		 1.5381	   0.0	
m60831c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.0660	 1072.5000		 6.0964	   0.0	
m60831c2r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 0.1100	 1074.1000		 0.8756	   0.0	
m60831c3r2.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0520	 1073.3000		 1.7670	   0.0	
m60831c3r2.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.0750	 1074.4000		 1.7764	   0.0	
m60901c1r2.htb	 180.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   0.0	 0.2260	 1074.0000		 1.8257	   1.0	
m60901c1r2.htb	 180.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   1.0	 -0.4890	 1073.0000		 6.0919	   0.0	
m60901c2r2.htb	 180.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	 0.0840	 1074.3000		 0.8233	   0.0	
m60901c2r2.htb	 180.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	 -0.4890	 1074.5000		 1.6499	   0.0	
m60901c3r2.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 0.0720	 1072.3000		 5.8509	   0.0	
m60901c3r2.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 0.0940	 1072.9000		 1.3703	   0.0	
m61025c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.2830	 1066.1000		 8.0616	   0.0	
